file_name,WS,Ag,A80,Rp0.2,Rm,s,u,SB,SW,SR,MR,KEA,GSA,BFA,Grat
DC03_10mm_u10_SB030_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,55,0.035,0.02,11.85,64.07,24.07,1.11
DC03_10mm_u10_SB030_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,55,0.05,0.02,12.22,62.22,25.56,1.11
DC03_10mm_u10_SB030_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,65,0.02,0.02,11.52,66.54,21.93,1.12
DC03_10mm_u10_SB030_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,65,0.035,0.02,11.85,62.59,25.56,1.48
DC03_10mm_u10_SB030_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,65,0.05,0.02,11.9,64.31,23.79,1.12
DC03_10mm_u10_SB030_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,75,0.02,0.02,11.15,65.06,23.79,1.12
DC03_10mm_u10_SB030_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,75,0.035,0.02,11.48,64.07,24.44,0.37
DC03_10mm_u10_SB030_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,75,0.05,0.02,11.48,63.7,24.81,0.74
DC03_10mm_u10_SB040_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,45,0.02,0.02,13.33,57.41,29.26,1.48
DC03_10mm_u10_SB040_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,45,0.035,0.02,13.33,60.0,26.67,2.22
DC03_10mm_u10_SB040_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,45,0.05,0.02,13.33,59.26,27.41,2.96
DC03_10mm_u10_SB040_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,55,0.02,0.02,12.96,61.48,25.56,1.48
DC03_10mm_u10_SB040_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,55,0.035,0.02,13.01,60.22,26.77,1.86
DC03_10mm_u10_SB040_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,55,0.05,0.02,13.33,60.37,26.3,1.11
DC03_10mm_u10_SB040_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,65,0.02,0.02,12.96,62.96,24.07,2.96
DC03_10mm_u10_SB040_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,65,0.035,0.02,13.01,58.74,28.25,1.86
DC03_10mm_u10_SB040_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,65,0.05,0.02,13.33,60.37,26.3,0.74
DC03_10mm_u10_SB040_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,75,0.02,0.02,12.96,62.96,24.07,1.11
DC03_10mm_u10_SB040_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,75,0.035,0.02,12.96,59.63,27.41,1.11
DC03_10mm_u10_SB040_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.4,75,0.05,0.02,13.33,60.74,25.93,0.74
DC03_10mm_u10_SB050_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,45,0.02,0.02,13.75,58.36,27.88,1.12
DC03_10mm_u10_SB050_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,45,0.035,0.02,13.75,55.39,30.86,1.86
DC03_10mm_u10_SB050_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,45,0.05,0.02,14.44,56.67,28.89,1.11
DC03_10mm_u10_SB050_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,55,0.02,0.02,13.75,57.99,28.25,1.12
DC03_10mm_u10_SB050_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,55,0.035,0.02,14.07,58.89,27.04,1.48
DC03_10mm_u10_SB050_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,55,0.05,0.02,14.07,55.19,30.74,1.11
DC03_10mm_u10_SB050_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,65,0.02,0.02,13.75,58.74,27.51,1.86
DC03_10mm_u10_SB050_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,65,0.035,0.02,14.07,58.15,27.78,1.11
DC03_10mm_u10_SB050_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,65,0.05,0.02,14.07,57.78,28.15,1.48
DC03_10mm_u10_SB050_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,75,0.02,0.02,13.7,60.37,25.93,0.74
DC03_10mm_u10_SB050_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,75,0.035,0.02,13.75,57.25,29.0,2.6
DC03_10mm_u10_SB050_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.5,75,0.05,0.02,14.13,57.99,27.88,1.12
DC03_10mm_u15_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,45,0.02,0.02,11.52,49.81,38.66,0.74
DC03_10mm_u15_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,45,0.035,0.02,11.85,57.04,31.11,0.74
DC03_10mm_u15_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,45,0.05,0.02,11.48,56.67,31.85,4.44
DC03_10mm_u15_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,55,0.02,0.02,9.26,62.96,27.78,0.74
DC03_10mm_u15_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,55,0.035,0.02,9.26,67.04,23.7,2.96
DC03_10mm_u15_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,55,0.05,0.02,8.89,67.04,24.07,3.7
DC03_10mm_u15_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,65,0.02,0.02,6.3,72.96,20.74,2.96
DC03_10mm_u15_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,65,0.035,0.02,6.3,75.56,18.15,2.22
DC03_10mm_u15_SB010_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,65,0.05,0.02,6.3,76.67,17.04,2.22
DC03_10mm_u15_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,75,0.02,0.02,4.44,80.74,14.81,2.22
DC03_10mm_u15_SB010_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,75,0.035,0.02,4.44,80.74,14.81,1.85
DC03_10mm_u15_SB010_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.1,75,0.05,0.02,4.09,82.53,13.38,2.23
DC03_10mm_u15_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,45,0.02,0.02,13.7,59.26,27.04,1.85
DC03_10mm_u15_SB020_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,45,0.035,0.02,13.75,60.97,25.28,5.58
DC03_10mm_u15_SB020_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,45,0.05,0.02,13.38,56.51,30.11,2.6
DC03_10mm_u15_SB020_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,55,0.02,0.02,12.27,57.62,30.11,2.6
DC03_10mm_u15_SB020_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,55,0.035,0.02,12.27,64.68,23.05,1.86
DC03_10mm_u15_SB020_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,55,0.05,0.02,12.27,55.39,32.34,3.35
DC03_10mm_u15_SB020_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,65,0.02,0.02,10.78,62.08,27.14,1.86
DC03_10mm_u15_SB020_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,65,0.035,0.02,11.15,68.03,20.82,1.12
DC03_10mm_u15_SB020_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,65,0.05,0.02,11.48,65.93,22.59,4.44
DC03_10mm_u15_SB020_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,75,0.02,0.02,10.41,65.43,24.16,1.49
DC03_10mm_u15_SB020_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,75,0.035,0.02,10.37,62.22,27.41,2.22
DC03_10mm_u15_SB020_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.2,75,0.05,0.02,10.74,67.41,21.85,2.59
DC03_10mm_u15_SB030_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,45,0.02,0.02,15.24,56.88,27.88,1.12
DC03_10mm_u15_SB030_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,45,0.035,0.02,15.93,57.04,27.04,1.48
DC03_10mm_u15_SB030_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,45,0.05,0.02,15.61,51.67,32.71,2.6
DC03_10mm_u15_SB030_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,55,0.02,0.02,15.19,57.41,27.41,1.48
DC03_10mm_u15_SB030_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,55,0.035,0.02,15.24,56.13,28.62,1.86
DC03_10mm_u15_SB030_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,55,0.05,0.02,15.61,53.53,30.86,1.12
DC03_10mm_u15_SB030_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,65,0.02,0.02,14.81,59.63,25.56,0.74
DC03_10mm_u15_SB030_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,65,0.035,0.02,15.19,56.67,28.15,1.11
DC03_10mm_u15_SB030_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,65,0.05,0.02,15.19,59.63,25.19,1.48
DC03_10mm_u15_SB030_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,75,0.02,0.02,14.5,58.36,27.14,1.86
DC03_10mm_u15_SB030_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,75,0.035,0.02,14.87,59.11,26.02,1.12
DC03_10mm_u15_SB030_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.3,75,0.05,0.02,14.81,54.44,30.74,2.59
DC03_10mm_u15_SB040_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,45,0.02,0.02,17.1,55.02,27.88,1.86
DC03_10mm_u15_SB040_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,45,0.035,0.02,17.04,48.89,34.07,1.48
DC03_10mm_u15_SB040_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,45,0.05,0.02,17.1,52.04,30.86,3.35
DC03_10mm_u15_SB040_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,55,0.02,0.02,17.1,59.85,23.05,1.49
DC03_10mm_u15_SB040_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,55,0.035,0.02,17.04,47.78,35.19,1.11
DC03_10mm_u15_SB040_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,55,0.05,0.02,17.41,49.63,32.96,2.96
DC03_10mm_u15_SB040_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,65,0.02,0.02,16.73,52.42,30.86,1.12
DC03_10mm_u15_SB040_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,65,0.035,0.02,17.1,53.9,29.0,1.86
DC03_10mm_u15_SB040_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,65,0.05,0.02,17.1,57.25,25.65,1.12
DC03_10mm_u15_SB040_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,75,0.02,0.02,16.67,57.04,26.3,1.11
DC03_10mm_u15_SB040_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,75,0.035,0.02,17.04,48.89,34.07,2.96
DC03_10mm_u15_SB040_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.4,75,0.05,0.02,17.04,55.19,27.78,1.48
DC03_10mm_u15_SB050_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,45,0.02,0.02,17.78,51.48,30.74,2.96
DC03_10mm_u15_SB050_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,45,0.035,0.02,18.15,53.33,28.52,1.48
DC03_10mm_u15_SB050_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,45,0.05,0.02,18.52,53.7,27.78,1.48
DC03_10mm_u15_SB050_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,55,0.02,0.02,17.78,50.74,31.48,1.48
DC03_10mm_u15_SB050_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,55,0.035,0.02,17.84,47.21,34.94,4.09
DC03_10mm_u15_SB050_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,55,0.05,0.02,18.15,47.78,34.07,1.85
DC03_10mm_u15_SB050_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,65,0.02,0.02,18.22,51.67,30.11,1.86
DC03_10mm_u15_SB050_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,65,0.035,0.02,17.84,46.1,36.06,2.6
DC03_10mm_u15_SB050_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,65,0.05,0.02,18.15,48.15,33.7,4.07
DC03_10mm_u15_SB050_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,75,0.02,0.02,17.78,54.07,28.15,0.74
DC03_10mm_u15_SB050_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,75,0.035,0.02,17.84,50.19,31.97,1.12
DC03_10mm_u15_SB050_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,15,0.5,75,0.05,0.02,17.78,49.63,32.59,0.74
DC03_15mm_u10_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,45,0.02,0.02,6.93,52.48,40.59,0.99
DC03_15mm_u10_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,45,0.035,0.02,7.2,52.44,40.36,0.51
DC03_15mm_u10_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,45,0.05,0.02,6.95,57.32,35.73,0.74
DC03_15mm_u10_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,55,0.02,0.02,5.46,60.55,34.0,0.74
DC03_15mm_u10_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,55,0.035,0.02,5.4,64.01,30.59,1.03
DC03_15mm_u10_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,55,0.05,0.02,5.45,66.34,28.22,0.5
DC03_15mm_u10_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,65,0.02,0.02,3.71,74.5,21.78,2.97
DC03_15mm_u10_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,65,0.035,0.02,3.34,76.61,20.05,2.31
DC03_15mm_u10_SB010_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,65,0.05,0.02,3.47,77.72,18.81,3.47
DC03_15mm_u10_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.1,75,0.02,0.02,2.23,79.46,18.32,1.24
DC03_15mm_u10_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,45,0.02,0.02,8.66,64.6,26.73,1.24
DC03_15mm_u10_SB020_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,45,0.035,0.02,8.72,65.64,25.64,0.77
DC03_15mm_u10_SB020_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,45,0.05,0.02,8.44,63.28,28.29,0.74
DC03_15mm_u10_SB020_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,55,0.02,0.02,7.92,60.15,31.93,0.99
DC03_15mm_u10_SB020_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,55,0.035,0.02,7.69,69.74,22.56,1.79
DC03_15mm_u10_SB020_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,55,0.05,0.02,7.67,67.82,24.5,1.49
DC03_15mm_u10_SB020_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,65,0.02,0.02,6.19,71.53,22.28,1.98
DC03_15mm_u10_SB020_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,65,0.035,0.02,6.17,71.47,22.37,1.8
DC03_15mm_u10_SB020_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,65,0.05,0.02,6.19,75.74,18.07,2.48
DC03_15mm_u10_SB020_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.2,75,0.05,0.02,4.7,65.59,29.7,0.5
DC03_15mm_u10_SB030_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,45,0.02,0.02,9.18,66.25,24.57,0.5
DC03_15mm_u10_SB030_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,45,0.05,0.02,9.65,63.37,26.98,2.72
DC03_15mm_u10_SB030_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,55,0.02,0.02,8.68,66.5,24.81,0.99
DC03_15mm_u10_SB030_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,55,0.035,0.02,8.74,64.52,26.74,1.54
DC03_15mm_u10_SB030_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,55,0.05,0.02,9.16,65.35,25.5,0.99
DC03_15mm_u10_SB030_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,65,0.02,0.02,8.17,66.34,25.5,0.99
DC03_15mm_u10_SB030_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,65,0.035,0.02,8.23,68.12,23.65,0.26
DC03_15mm_u10_SB030_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,65,0.05,0.02,8.17,66.83,25.0,0.99
DC03_15mm_u10_SB030_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,75,0.02,0.02,7.43,67.57,25.0,0.5
DC03_15mm_u10_SB030_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,75,0.035,0.02,7.46,67.61,24.94,0.77
DC03_15mm_u10_SB030_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.3,75,0.05,0.02,7.44,67.99,24.57,0.74
DC03_15mm_u10_SB040_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,45,0.02,0.02,10.42,62.03,27.54,0.74
DC03_15mm_u10_SB040_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,45,0.035,0.02,10.54,60.41,29.05,1.29
DC03_15mm_u10_SB040_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,45,0.05,0.02,10.42,62.03,27.54,0.5
DC03_15mm_u10_SB040_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,55,0.02,0.02,9.9,62.13,27.97,0.74
DC03_15mm_u10_SB040_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,55,0.035,0.02,10.03,61.7,28.28,0.77
DC03_15mm_u10_SB040_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,55,0.05,0.02,10.4,61.14,28.47,2.97
DC03_15mm_u10_SB040_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,65,0.02,0.02,9.65,64.11,26.24,0.99
DC03_15mm_u10_SB040_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,65,0.035,0.02,10.03,63.24,26.74,1.03
DC03_15mm_u10_SB040_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,75,0.02,0.02,9.43,66.25,24.32,0.5
DC03_15mm_u10_SB040_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,75,0.035,0.02,9.77,65.3,24.94,1.03
DC03_15mm_u10_SB040_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.4,75,0.05,0.02,9.65,61.39,28.96,0.5
DC03_15mm_u10_SB050_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,45,0.02,0.02,11.14,60.15,28.71,0.5
DC03_15mm_u10_SB050_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,45,0.035,0.02,11.54,62.05,26.41,0.26
DC03_15mm_u10_SB050_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,45,0.05,0.02,11.63,59.16,29.21,0.99
DC03_15mm_u10_SB050_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,55,0.02,0.02,11.14,59.9,28.96,0.5
DC03_15mm_u10_SB050_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,55,0.035,0.02,11.31,60.41,28.28,1.54
DC03_15mm_u10_SB050_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,55,0.05,0.02,11.39,58.42,30.2,0.5
DC03_15mm_u10_SB050_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,65,0.02,0.02,11.14,59.9,28.96,0.99
DC03_15mm_u10_SB050_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,65,0.035,0.02,11.05,60.67,28.28,0.77
DC03_15mm_u10_SB050_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,65,0.05,0.02,11.41,60.05,28.54,0.74
DC03_15mm_u10_SB050_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,75,0.02,0.02,10.89,62.87,26.24,0.74
DC03_15mm_u10_SB050_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,75,0.035,0.02,11.05,60.67,28.28,0.77
DC03_15mm_u10_SB050_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,10,0.5,75,0.05,0.02,11.39,60.64,27.97,0.5
DC03_15mm_u15_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,45,0.02,0.02,8.19,50.37,41.44,2.98
DC03_15mm_u15_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,45,0.035,0.02,8.48,54.76,36.76,3.08
DC03_15mm_u15_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,45,0.05,0.02,8.68,57.82,33.5,5.46
DC03_15mm_u15_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,55,0.02,0.02,6.44,62.87,30.69,2.48
DC03_15mm_u15_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,55,0.035,0.02,6.43,66.84,26.74,3.6
DC03_15mm_u15_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,55,0.05,0.02,6.2,68.24,25.56,3.23
DC03_15mm_u15_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,65,0.02,0.02,4.21,75.25,20.54,8.42
DC03_15mm_u15_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,65,0.035,0.02,4.36,75.38,20.26,2.31
DC03_15mm_u15_SB010_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,65,0.05,0.02,4.21,79.46,16.34,2.97
DC03_15mm_u15_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,75,0.02,0.02,2.73,82.88,14.39,3.72
DC03_15mm_u15_SB010_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,75,0.035,0.02,2.83,86.12,11.05,3.08
DC03_15mm_u15_SB010_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.1,75,0.05,0.02,2.72,86.39,10.89,3.47
DC03_15mm_u15_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.5,15,0.2,45,0.02,0.02,10.64,58.42,30.94,0.74
